SOC[-] Voltage[V]
5.256610729948073546e-01 1.293963803623273713e-02
5.266610729948073555e-01 1.319726548165726931e-02
5.276610729948073564e-01 1.312774124318184452e-02
5.286610729948073573e-01 1.306669468553309406e-02
5.296610729948073581e-01 1.330824287775976729e-02
5.306610729948073590e-01 1.324227143781672549e-02
5.316610729948073599e-01 1.317617778657449897e-02
5.326610729948073608e-01 1.342830530298306201e-02
5.336610729948073617e-01 1.335830074996920309e-02
5.346610729948073626e-01 1.359768689234942991e-02
5.356610729948073635e-01 1.344948725972926716e-02
5.366610729948073644e-01 1.330404448841272791e-02
5.376610729948073653e-01 1.347019179661174300e-02
5.386610729948073661e-01 1.340647330646925137e-02
5.396610729948073670e-01 1.364316541638618298e-02
5.406610729948073679e-01 1.357240431379750506e-02
5.416610729948073688e-01 1.349117424099085909e-02
5.426610729948073697e-01 1.373591299650252055e-02
5.436610729948073706e-01 1.361633530702420145e-02
5.446610729948073715e-01 1.367981786602103997e-02
5.456610729948073724e-01 1.356953310043581933e-02
5.466610729948073732e-01 1.380116780905473253e-02
5.476610729948073741e-01 1.372074751169111498e-02
5.486610729948073750e-01 1.393643586159396333e-02
5.496610729948073759e-01 1.396104352636075470e-02
5.506610729948073768e-01 1.385164909726518088e-02
5.516610729948073777e-01 1.406961141213287220e-02
5.526610729948073786e-01 1.403989054858175226e-02
5.536610729948073795e-01 1.397125906478731763e-02
5.546610729948073804e-01 1.419421833761771307e-02
5.556610729948073812e-01 1.441685476851080165e-02
5.566610729948073821e-01 1.412989270587741014e-02
5.576610729948073830e-01 1.430416413589227949e-02
5.586610729948073839e-01 1.451824491212027994e-02
5.596610729948073848e-01 1.449362190563351777e-02
5.606610729948073857e-01 1.470501803638308083e-02
5.616610729948073866e-01 1.479413991040519176e-02
5.626610729948073875e-01 1.489409633920195201e-02
5.636610729948073883e-01 1.498363759757330611e-02
5.646610729948073892e-01 1.505963510125093302e-02
5.656610729948073901e-01 1.520011894835124680e-02
5.666610729948073910e-01 1.523150660814735595e-02
5.676610729948073919e-01 1.532698656637512639e-02
5.686610729948073928e-01 1.570679323050944848e-02
5.696610729948073937e-01 1.573290768410561327e-02
5.706610729948073946e-01 1.586142354593130313e-02
5.716610729948073955e-01 1.584324890792822640e-02
5.726610729948073963e-01 1.599508225355839378e-02
5.736610729948073972e-01 1.594618180822999359e-02
5.746610729948073981e-01 1.611666830705644343e-02
5.756610729948073990e-01 1.604051825486340135e-02
5.766610729948073999e-01 1.573210952292674811e-02
5.776610729948074008e-01 1.581877855671564095e-02
5.786610729948074017e-01 1.574930328607615504e-02
5.796610729948074026e-01 1.558297562412053541e-02
5.806610729948074034e-01 1.550424754295636441e-02
5.816610729948072933e-01 1.566469647600115395e-02
5.826610729948072942e-01 1.527285984413674635e-02
5.836610729948072951e-01 1.541802725294610411e-02
5.846610729948072960e-01 1.502434531240032754e-02
